location.district,operation_type.name,property_type,build_area,longitud,latitud,years_old,bathrooms,bedrooms,garages,has_swimming_pool,usd_price
san isidro,Comprar,departamento,147.0,-77.0430196,-12.0919266,0.0,3.0,3.0,1.0,False,219000.0
santiago de surco,Comprar,departamento,65.0,-76.9802926,-12.1108239,10.0,3.0,3.0,2.0,False,850.0
barranco,Comprar,departamento,61.0,-77.0189178,-12.1319461,37.0,2.0,3.0,1.0,False,147000.0
santiago de surco,Comprar,departamento,75.0,-76.98011590000002,-12.1110034,10.0,3.0,3.0,2.0,False,107431.0
santiago de surco,Comprar,departamento,135.0,-76.9911563,-12.115003,0.0,3.0,3.0,2.0,False,289000.0
miraflores,Comprar,departamento,60.0,-77.0375147,-12.113280300000001,0.0,3.0,2.0,2.0,False,112534.717
breña,Comprar,casa,136.0,-77.04870240000001,-12.0521485,0.0,1.0,3.0,0.0,False,976.652
surquillo,Comprar,departamento,78.0,-77.00779800000002,-12.1185489,5.0,3.0,3.0,1.0,True,1600.0
san borja,Comprar,departamento,280.0,-77.00012009999998,-12.0936867,0.0,3.0,2.0,1.0,False,550000.0
santa maria del mar,Comprar,casa,350.0,-76.77349099999998,-12.4006362,0.0,5.0,5.0,2.0,True,2750.0
san isidro,Comprar,departamento,239.0,-77.036125,-12.103192757687767,18.0,2.0,2.0,1.0,False,185000.0
santiago de surco,Comprar,departamento,220.0,-76.972179,-12.115747099999998,20.0,3.0,3.0,1.0,False,500000.0
miraflores,Alquilar,departamento,107.0,-77.0282272,-12.1286819,4.0,3.0,2.0,2.0,False,1700.0
santiago de surco,Comprar,departamento,220.0,-76.97226619999998,-12.115867999999999,3.0,2.0,1.0,2.0,False,500000.0
san borja,Alquilar,departamento,308.0,-76.98150849999998,-12.091830999999999,10.0,2.0,2.0,1.0,False,850000.0
santiago de surco,Comprar,departamento,153.0,-76.96508809999999,-12.0866339,18.0,3.0,3.0,2.0,True,370000.0
santiago de surco,Comprar,departamento,87.0,-76.9714672,-12.1245815,5.0,2.0,3.0,2.0,False,149000.0
san isidro,Comprar,casa,64.0,-77.0574718,-12.0986648,41.0,5.0,4.0,3.0,False,84000.0
lima,Comprar,departamento,5525.0,-77.0367114,-12.0441641,49.0,1.0,2.0,0.0,False,966875.0
chorrillos,Alquilar,departamento,100.0,-77.0106179,-12.180767999999999,17.0,3.0,3.0,1.0,False,170000.0
chorrillos,Comprar,departamento,85.0,-77.01133879999998,-12.1814151,17.0,3.0,3.0,1.0,False,500.0
magdalena,Comprar,departamento,110.0,-77.06291,-12.09958902350388,0.0,2.0,2.0,1.0,True,200000.0
lima,Comprar,departamento,113.0,-77.0318908,-12.074520199999998,0.0,2.0,3.0,0.0,False,800.0
lima,Comprar,departamento,116.0,-77.0318908,-12.074520199999998,0.0,2.0,3.0,0.0,False,900.0
santiago de surco,Comprar,departamento,138.0,-76.9963144,-12.1220811,0.0,2.0,3.0,2.0,False,135000.0
santiago de surco,Comprar,departamento,69.0,-76.97715500000001,-12.1071707,0.0,2.0,2.0,1.0,False,85457.043
santiago de surco,Alquilar,departamento,83.0,-76.974469,-12.1063151,7.0,4.0,3.0,2.0,True,66500.0
santiago de surco,Comprar,departamento,102.0,-76.98032760000002,-12.1151259,21.0,4.0,4.0,4.0,False,130000.0
barranco,Alquilar,departamento,77.0,-77.0232178,-12.142308,10.0,4.0,4.0,1.0,False,67300.0
chaclacayo,Comprar,casa,224.0,-76.777231,-11.978584948728932,47.0,5.0,5.0,1.0,False,109000.0
san borja,Comprar,casa,102.0,-77.000003,-12.091619000736207,50.0,4.0,6.0,2.0,False,131000.0
santiago de surco,Comprar,casa,72.0,-76.97079440000002,-12.104925999999999,15.0,3.0,3.0,2.0,False,130000.0
miraflores,Alquilar,departamento,137.0,-77.009022,-12.122923199999999,5.0,2.0,2.0,2.0,False,270000.0
santiago de surco,Comprar,casa,91.0,-76.97170600000001,-12.1141992488774,15.0,3.0,3.0,2.0,False,109629.177
lince,Comprar,departamento,70.0,-77.046646,-12.086341871918302,0.0,3.0,3.0,0.0,False,113000.0
miraflores,Comprar,departamento,104.0,-77.0400516,-12.117134199999999,2.0,2.0,3.0,1.0,False,89000.0
san isidro,Comprar,departamento,70.0,-77.05736999999999,-12.093893722942404,5.0,4.0,3.0,2.0,True,96000.0
miraflores,Comprar,casa,89.0,-77.00906859999998,-12.121917800000002,10.0,3.0,3.0,3.0,False,149000.0
miraflores,Comprar,casa,80.0,-77.0400516,-12.117134199999999,2.0,2.0,3.0,1.0,False,427.285
miraflores,Comprar,casa,66.0,-77.02757129999998,-12.1215439,0.0,2.0,5.0,2.0,False,105000.0
miraflores,Comprar,departamento,366.0,-77.04988540000001,-12.1104825,5.0,2.0,3.0,1.0,False,580000.0
pueblo libre,Comprar,casa,190.0,-77.0596541,-12.0788859,41.0,4.0,5.0,2.0,False,190000.0
chorrillos,Comprar,departamento,240.0,-77.0091015,-12.1742841,6.0,2.0,2.0,0.0,False,370000.0
magdalena,Comprar,departamento,104.0,-77.0630484,-12.0911483,25.0,1.0,2.0,1.0,False,88000.0
punta negra,Comprar,casa,130.0,-76.497235,-12.988908628863893,7.0,2.0,4.0,1.0,True,275000.0
lima,Comprar,departamento,100.0,-77.07520699999999,-12.063516626794057,40.0,2.0,3.0,0.0,False,189665.0
san miguel,Comprar,departamento,120.0,-77.0817833,-12.079690300000001,0.0,2.0,3.0,0.0,False,800000.0
san juan de lurigancho,Comprar,departamento,234.0,-77.007805,-12.020876263201925,27.0,1.0,2.0,0.0,False,2000.0
carabayllo,Comprar,casa,74.0,-77.05726240000001,-12.0041889,35.0,3.0,6.0,0.0,False,150000.0
chorrillos,Comprar,casa,110.0,-77.00548,-12.18208949270102,25.0,3.0,3.0,1.0,False,155500.0
san juan de lurigancho,Comprar,departamento,78.0,-77.007779,-12.020884137193468,27.0,1.0,2.0,0.0,False,103000.0
san juan de lurigancho,Comprar,casa,69.0,-76.97671899999999,-11.964131853754491,10.0,4.0,9.0,0.0,False,104990.081
chorrillos,Comprar,casa,160.0,-77.00548,-12.182110467186439,25.0,3.0,3.0,1.0,False,300000.0
miraflores,Comprar,departamento,100.0,-77.0263858,-12.117714999999999,6.0,1.0,1.0,1.0,True,185000.0
san isidro,Comprar,departamento,139.0,-77.0426945,-12.094649,5.0,3.0,3.0,2.0,True,310000.0
santiago de surco,Comprar,departamento,400.0,-76.988276,-12.1648832,14.0,2.0,3.0,1.0,False,700000.0
pueblo libre,Comprar,departamento,28.0,-77.07912859999998,-12.0741679,0.0,2.0,2.0,0.0,True,415.077
callao,Comprar,departamento,88.0,-77.12766289999998,-12.0543754,0.0,1.0,3.0,0.0,False,250000.0
san miguel,Comprar,departamento,40.0,-77.1020448,-12.0730711,0.0,1.0,3.0,0.0,False,382.0
san miguel,Comprar,departamento,84.0,-77.076637,-12.082119127944775,2.0,2.0,3.0,0.0,False,78800.0
chorrillos,Alquilar,departamento,75.0,-76.9983075,-12.171506599999999,4.0,2.0,3.0,0.0,False,110000.0
surquillo,Comprar,departamento,82.0,-77.021158,-12.1065333,15.0,2.0,3.0,1.0,False,170000.0
santiago de surco,Comprar,casa,120.0,-77.00510609999998,-12.1366288,0.0,1.0,5.0,1.0,False,275000.0
rimac,Comprar,casa,72.0,-77.0337569,-12.0317255,0.0,1.0,4.0,0.0,False,86000.0
san borja,Comprar,casa,113.0,-76.9945203,-12.0933405,0.0,2.0,3.0,2.0,False,230000.0
san borja,Comprar,casa,102.0,-76.9945203,-12.0933405,0.0,2.0,3.0,2.0,False,210000.0
santiago de surco,Comprar,casa,225.0,-76.9876852,-12.125467,50.0,2.0,4.0,2.0,False,150000.0
puente piedra,Comprar,casa,27.0,-77.0845064,-11.9307275,0.0,2.0,3.0,0.0,False,60000.0
santiago de surco,Alquilar,departamento,86.0,-76.95552159999998,-12.1048909,20.0,1.0,1.0,1.0,False,132000.0
