location.district,operation_type.name,property_type.name,usd_price,total_area,years_old,bathrooms,bedrooms,garages,has_swimming_pool,lon,lat
santiago de surco,Alquilar,oficina,537.159,85.0,5.0,1.0,3.0,1.0,False,-12.132878,-76.995564
carabayllo,Comprar,terreno-lote,31000.0,120.0,0.0,2.0,3.0,0.0,False,-11.841709902259641,-77.080985
surquillo,Comprar,departamento,93000.0,65.0,30.0,1.0,2.0,0.0,False,-12.1029741,-77.0210611
san borja,Alquilar,departamento,390.661,60.0,5.0,1.0,1.0,0.0,False,-12.101986636693741,-77.000558
san miguel,Comprar,casa,435000.0,220.0,4.0,5.0,5.0,2.0,True,-12.0779559,-77.0973193
pueblo libre,Alquilar,departamento,463.91,90.0,4.0,2.0,3.0,1.0,False,-12.0700773,-77.0650651
lince,Alquilar,oficina,329.62,80.0,9.0,1.0,3.0,0.0,False,-12.0763481,-77.03437679999999
lima,Alquilar,departamento,317.412,60.0,5.0,2.0,3.0,0.0,False,-12.050087255112496,-77.079851
carabayllo,Comprar,terreno-lote,31000.0,120.0,0.0,0.0,0.0,2.0,False,-11.8970605,-77.0333844
santiago de surco,Alquilar,departamento,537.159,135.0,5.0,2.0,2.0,0.0,False,-12.132550638388382,-76.996139
santiago de surco,Comprar,departamento,175000.0,110.0,17.0,3.0,3.0,1.0,False,-12.1073424,-76.9558608
san isidro,Comprar,departamento,183500.0,70.0,0.0,2.0,2.0,1.0,False,-12.096528,-77.029193
san isidro,Comprar,departamento,118000.0,45.0,0.0,1.0,1.0,0.0,False,-12.09598,-77.028959
san isidro,Comprar,departamento,304500.0,156.0,0.0,2.0,3.0,1.0,False,-12.097325,-77.029665
miraflores,Comprar,departamento,1250000.0,309.0,0.0,3.0,3.0,3.0,False,-12.135673,-77.02521
miraflores,Comprar,departamento,790000.0,415.0,0.0,3.0,3.0,4.0,True,-12.121879,-77.015681
santiago de surco,Comprar,departamento,231954.83,122.0,0.0,2.0,3.0,2.0,False,-12.112503,-76.990335
lima,Comprar,departamento,269500.0,94.0,0.0,2.0,2.0,1.0,False,-12.142966,-77.024908
miraflores,Comprar,departamento,480000.0,177.0,0.0,2.0,2.0,2.0,False,-12.133489,-77.027701
lima,Comprar,departamento,200000.0,94.0,0.0,2.0,2.0,1.0,True,-12.107896,-76.999269
lima,Comprar,departamento,265000.0,120.0,0.0,2.0,3.0,1.0,True,-12.107707,-76.999269
miraflores,Comprar,departamento,459900.0,150.0,0.0,2.0,3.0,2.0,False,-12.110253,-77.037079
miraflores,Comprar,departamento,519000.0,173.0,0.0,3.0,3.0,2.0,False,-12.133489,-77.027701
miraflores,Comprar,departamento,471600.0,240.0,0.0,2.0,3.0,2.0,False,-12.121447875603467,-77.021719
san isidro,Comprar,departamento,213154.28,113.0,0.0,2.0,3.0,1.0,False,-12.098524,-77.012247
san miguel,Alquilar,departamento,463.91,73.0,6.0,2.0,3.0,0.0,True,-12.086363135959179,-77.094534
breña,Alquilar,local industrial,2800.0,201.0,50.0,2.0,3.0,0.0,False,-12.0558527,-77.04786709999999
la molina,Alquilar,departamento,1000.0,220.0,24.0,5.0,4.0,1.0,False,-12.0680051,-76.9598165
san miguel,Comprar,departamento,98290.249,67.0,0.0,2.0,1.0,0.0,False,-12.0796903,-77.0817833
san miguel,Comprar,departamento,98290.0,67.0,0.0,2.0,1.0,0.0,False,-12.0796903,-77.0817833
san miguel,Comprar,departamento,96493.0,66.0,0.0,2.0,3.0,0.0,False,-12.0796903,-77.0817833
san miguel,Comprar,departamento,97860.0,68.0,0.0,2.0,3.0,0.0,False,-12.0796903,-77.0817833
san miguel,Comprar,departamento,93621.0,60.0,0.0,2.0,3.0,0.0,False,-12.0796903,-77.0817833
san miguel,Comprar,departamento,97176.0,67.0,0.0,2.0,3.0,0.0,False,-12.0796903,-77.0817833
san miguel,Comprar,departamento,93953.0,63.0,0.0,2.0,3.0,0.0,False,-12.0796903,-77.0817833
miraflores,Alquilar,departamento,1000.0,105.0,5.0,2.0,1.0,1.0,False,-12.1229473,-77.040082
miraflores,Comprar,departamento,323000.0,142.0,1.0,2.0,3.0,2.0,False,-12.114888865047746,-77.03136
san isidro,Comprar,departamento,850000.0,267.0,6.0,4.0,4.0,3.0,False,-12.0979233,-77.04879629999999
san isidro,Comprar,departamento,330000.0,155.0,3.0,3.0,3.0,4.0,False,-12.103682516598123,-77.013066
san isidro,Comprar,departamento,535000.0,233.0,6.0,2.0,3.0,3.0,False,-12.096656811672167,-77.050135
lince,Alquilar,departamento,850.0,103.0,10.0,2.0,2.0,1.0,False,-12.090681607613288,-77.037203
miraflores,Alquilar,departamento,900.0,100.0,8.0,2.0,2.0,2.0,False,-12.1278822,-77.0289646
san borja,Comprar,casa,580000.0,342.0,50.0,4.0,5.0,4.0,False,-12.0898835,-76.996105
ate,Comprar,local industrial,1750000.0,900.0,23.0,2.0,3.0,6.0,False,-12.0640664,-76.9660735
villa el salvador,Comprar,casa,220000.0,140.0,0.0,2.0,4.0,0.0,False,-12.2149339,-76.9546369
